model_name,property,random_seed,r2_mean,r2_se,mae_mean,mae_se,rmse_mean,rmse_se
MT CrabNet mat2vec concat_at_input,kl,42,0.7470874128591214,0.025242066905035897,0.3834088368333539,0.03202068274253352,0.8793146420995033,0.07438207959044646
MT CrabNet oliynyk concat_at_input,kl,42,0.7470874128591214,0.025242066905035897,0.3834088368333539,0.03202068274253352,0.8793146420995033,0.07438207959044646
MT CrabNet matscibert tile_at_input,kl,42,0.7367299512317218,0.02430718945200228,0.37938741449244806,0.02445099193403671,0.8924420090521415,0.06527379668030721
MT CrabNet mat2vec tile_at_input,kl,42,0.7289463352433893,0.028797039723768552,0.3915832950625099,0.0372432833704193,0.9128273301636369,0.08542012700838393
MT CrabNet oliynyk tile_at_input,kl,42,0.7289463352433893,0.028797039723768552,0.3915832950625099,0.0372432833704193,0.9128273301636369,0.08542012700838393
MT CrabNet matscibert concat_at_output,kl,42,0.7537416187413788,0.01850824696472001,0.3715042034651989,0.020877630992791055,0.866186086481717,0.05995059889709193
MT CrabNet mat2vec concat_at_output,kl,42,0.7469719135167169,0.021647237015754776,0.38264658331743007,0.01615282527367681,0.8715805424316952,0.04900671384422181
MT CrabNet oliynyk concat_at_output,kl,42,0.7469719135167169,0.021647237015754776,0.38264658331743007,0.01615282527367681,0.8715805424316952,0.04900671384422181
MT CrabNet matscibert concat_at_input,sigma,42,0.7360513067959334,0.02451054490063987,237.60383221100741,6.745217010381083,495.6646245508614,28.89301774479268
MT CrabNet mat2vec concat_at_input,sigma,42,0.7369875537989825,0.031335405852912585,233.20827611646573,7.289348646388853,492.9193622105854,32.84027618367785
MT CrabNet oliynyk concat_at_input,sigma,42,0.7369875537989825,0.031335405852912585,233.20827611646573,7.289348646388853,492.9193622105854,32.84027618367785
MT CrabNet matscibert tile_at_input,sigma,42,0.7298998668714581,0.025804904126108585,239.99465145653363,9.120500800554561,501.0156882800934,29.62801176718259
MT CrabNet mat2vec tile_at_input,sigma,42,0.7316655689830164,0.026565817339375724,237.62542881293885,9.15054334338838,499.3871784927913,29.673784671861405
MT CrabNet oliynyk tile_at_input,sigma,42,0.7316655689830164,0.026565817339375724,237.62542881293885,9.15054334338838,499.3871784927913,29.673784671861405
MT CrabNet matscibert concat_at_output,sigma,42,0.7392718858501747,0.026115058404765985,238.78977812853918,6.733185173179996,492.4846598783832,30.251255179237074
MT CrabNet mat2vec concat_at_output,sigma,42,0.709498377020101,0.02134519384268507,252.97423502530674,11.42943938540855,519.823743672144,23.005579226352097
MT CrabNet oliynyk concat_at_output,sigma,42,0.709498377020101,0.02134519384268507,252.97423502530674,11.42943938540855,519.823743672144,23.005579226352097
