model_name,property,random_seed,r2_mean,r2_se,mae_mean,mae_se,rmse_mean,rmse_se
MT CrabNet RobustL2 concat_at_input 0,sigma,42,0.7336857166935633,0.034873351279864115,233.54668450730355,6.9116538969005825,495.50509819980624,36.07379240432441
MT CrabNet RobustL1 concat_at_input 0,sigma,42,0.7387047773890485,0.027968421069549648,231.33005735801007,8.34947124835445,492.5075001415722,32.9139094129512
MT CrabNet RobustL2 concat_at_input concat_at_attn,sigma,42,0.7360513067959334,0.02451054490063987,237.60383221100741,6.745217010381083,495.6646245508614,28.89301774479268
MT CrabNet RobustL1 concat_at_input concat_at_attn,sigma,42,0.7243844367398223,0.030241611230149533,237.35221588686082,8.451043865059233,505.53887153850667,32.65675841546021
MT CrabNet RobustL2 concat_at_output 0,sigma,42,0.7220838550389714,0.03493239942633972,243.46152439319903,9.304074490838966,506.36528637861704,33.362859714293116
MT CrabNet RobustL1 concat_at_output 0,sigma,42,0.724588316863721,0.02921060455926344,241.25526588359784,8.025849761691589,505.4711116134079,30.839689300753257
MT CrabNet RobustL2 concat_at_output concat_at_attn,sigma,42,0.7392718858501747,0.026115058404765985,238.78977812853918,6.733185173179996,492.4846598783832,30.251255179237074
MT CrabNet RobustL1 concat_at_output concat_at_attn,sigma,42,0.7311235876188651,0.039152795028077156,239.6909549061539,10.601886046131439,496.73761450865857,37.50304874684802
MT CrabNet RobustL2 concat_at_input 0,S,42,0.8303305429718908,0.014240281714482914,42.96667942888853,1.2000367984205595,84.40601463705718,3.1946937669614965
MT CrabNet RobustL1 concat_at_input 0,S,42,0.8166739301918755,0.014217946915400246,44.43691236170373,1.4407246124167798,87.78872063271203,3.027226969103596
MT CrabNet RobustL2 concat_at_input concat_at_attn,S,42,0.7958844493887981,0.0316424216280171,46.1767298857074,1.9244746045497596,91.75867786283831,6.574639587011885
MT CrabNet RobustL1 concat_at_input concat_at_attn,S,42,0.7915946798754672,0.03382332063439196,45.94308120416602,2.137136355501119,92.5915739584757,7.2067962071056915
MT CrabNet RobustL2 concat_at_output 0,S,42,0.7705743171865527,0.052935851425954965,48.09029904547151,2.092780715498958,95.66119968910296,9.717115000862922
MT CrabNet RobustL1 concat_at_output 0,S,42,0.771944714602616,0.039955934013595214,48.25737155207065,2.1188557605829152,96.52006540360682,7.4071879247009855
MT CrabNet RobustL2 concat_at_output concat_at_attn,S,42,0.7633023544922208,0.048393188398037114,49.04107108394736,2.2216949959441363,97.8697636872774,8.73054923789697
MT CrabNet RobustL1 concat_at_output concat_at_attn,S,42,0.76805640837132,0.0410389230996891,48.04260917253244,1.8773771622167228,97.37101675839713,7.545650872407303
MT CrabNet RobustL2 concat_at_input 0,PF,42,0.8242008145904538,0.020031816863910177,2.507970712528252,0.14428380297656268,4.577104387854655,0.36381490212034934
MT CrabNet RobustL1 concat_at_input 0,PF,42,0.8240181242184452,0.017253635673281097,2.5115530220999185,0.13314033341205087,4.5632224902104825,0.2585093276962993
MT CrabNet RobustL2 concat_at_input concat_at_attn,PF,42,0.8111185814191588,0.01933051281089677,2.590999596693135,0.13772443382479307,4.737178035267017,0.30237054897027993
MT CrabNet RobustL1 concat_at_input concat_at_attn,PF,42,0.8199670533067783,0.020149876945529003,2.551529414300952,0.16047762987453804,4.6181654896106314,0.31556418340386405
MT CrabNet RobustL2 concat_at_output 0,PF,42,0.8129737424801664,0.018080920846775827,2.6011047443082336,0.12153490928337227,4.72224147665028,0.32122085440740583
MT CrabNet RobustL1 concat_at_output 0,PF,42,0.8170453388247827,0.019183478832511952,2.5961532945351538,0.11971965492420318,4.6485412213388,0.26963163966194226
MT CrabNet RobustL2 concat_at_output concat_at_attn,PF,42,0.8135427236554309,0.015777357780304677,2.641107246599597,0.10771383834649058,4.713791316217405,0.2674714017053169
MT CrabNet RobustL1 concat_at_output concat_at_attn,PF,42,0.8153104949005145,0.018626427543557898,2.6005931775939244,0.1339533256166107,4.665768164647367,0.2289684467451394
MT CrabNet RobustL2 concat_at_input 0,zT,42,0.8398797258789872,0.01333924125184272,0.10680548081937216,0.0022518952312995527,0.1741068717965847,0.005215632179946753
MT CrabNet RobustL1 concat_at_input 0,zT,42,0.8439716578101638,0.010855692225648427,0.10681868699535355,0.0026309762402983157,0.17228831317943327,0.00564416423442135
MT CrabNet RobustL2 concat_at_input concat_at_attn,zT,42,0.8400163772701366,0.009883156706929063,0.10684947968698269,0.002017055094072636,0.17457609430731508,0.004838908918643289
MT CrabNet RobustL1 concat_at_input concat_at_attn,zT,42,0.8388622317434977,0.011415443692000633,0.10663560730737254,0.0028202656244884286,0.17516801662286446,0.006781270055907347
MT CrabNet RobustL2 concat_at_output 0,zT,42,0.826570931299736,0.010868617657928408,0.11189819271223249,0.0020819570618489736,0.18167979694415287,0.004286300628729512
MT CrabNet RobustL1 concat_at_output 0,zT,42,0.8280147967532889,0.013258370123805378,0.11213606985482535,0.003821659564634633,0.18088253268421756,0.007357558785106015
MT CrabNet RobustL2 concat_at_output concat_at_attn,zT,42,0.8319695371359037,0.008241836836695687,0.11084136896794965,0.0025967183659639913,0.17934390959484264,0.005768151370207452
MT CrabNet RobustL1 concat_at_output concat_at_attn,zT,42,0.8314407435470887,0.01039433499517782,0.1107037706020347,0.003086980826173161,0.1794381919571135,0.006714338842926918
