K_Fold,Random Seed,Actual,Predicted,#,reduced_compositions
1,123,1.85442,1.2159681049127828,724.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00333036O0.04521383
1,123,1.85484,1.3376529632314866,725.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00333036O0.04521383
1,123,1.96072,1.4931004679512498,726.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00333036O0.04521383
1,123,2.03866,1.618097481649133,727.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00333036O0.04521383
1,123,2.05643,1.742755815942027,728.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00333036O0.04521383
1,123,2.06332,1.9066922482536717,729.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00333036O0.04521383
1,123,2.26854,2.072720180157058,730.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00333036O0.04521383
1,123,2.59145,2.132259743287241,731.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00333036O0.04521383
1,123,0.569,0.6517629054265395,873.0,Ag2Te0.019Se1
1,123,0.593,0.6800023900646178,874.0,Ag2Te0.019Se1
1,123,0.648,0.6964488998098706,875.0,Ag2Te0.019Se1
1,123,0.693,0.7191129177880513,876.0,Ag2Te0.019Se1
1,123,0.745,0.7344727182420452,877.0,Ag2Te0.019Se1
1,123,0.741,0.7104877404105747,878.0,Ag2Te0.019Se1
1,123,0.693,0.6752709310597929,879.0,Ag2Te0.019Se1
1,123,0.63288,0.6897839584136253,961.0,Ag0.0233Bi1.9534Te2.9301
1,123,1.1,0.7672128817126416,978.0,Bi0.5Sb1.5Te3
1,123,0.136,0.46898104831225124,1104.0,Sn0.05Ge0.87Bi0.08Te1
1,123,0.153,0.4947349900502257,1105.0,Sn0.05Ge0.87Bi0.08Te1
1,123,0.195,0.6087985378861441,1106.0,Sn0.05Ge0.87Bi0.08Te1
1,123,0.254,0.7986643777112568,1107.0,Sn0.05Ge0.87Bi0.08Te1
1,123,0.424,1.1327214764965405,1109.0,Sn0.05Ge0.87Bi0.08Te1
1,123,0.508,1.502174430080657,1110.0,Sn0.05Ge0.87Bi0.08Te1
1,123,0.61,1.7736555501859335,1111.0,Sn0.05Ge0.87Bi0.08Te1
